Eartag,AssayType,RecordingDate,Sex,Genotype,DOB,Family,SurgeryDate,TDTGroupPath,TDTTankPath,VideoPath,VideoFile,ScorePath,ScoreFile,PreprocessedDataPath,PreprocessedFiledFF,PreprocessedFileTrimdFF,PartnerEartag,PartnerSex,PartnerGenotype,PartnerDOB,PartnerFamily,PairDate
V1259,introduction,20181205,M,WT,20181001,FC,20181115,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,,,,,,20181205
V2210,introduction,20190218,M,WT,20181223,B5,20190125,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,,,,,,20190218
V2211,introduction,20190218,M,WT,20181223,B5,20190130,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,,,,,,20190218
V3950,introduction,20190904,M,WT,20190706,G15,20190808,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4146,F,WT,20190726,NG5,20190904
V5473,introduction,20200212,M,WT,20191213,G21,20200123,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5552,F,WT,20191223,H5,20200212
V6074,introduction,20200617,M,WT,20200416,H13,20200525,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6062,F,WT,20200416,H2,20200617
V6077,introduction,20200616,M,WT,20200416,H13,20200525,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6063,F,WT,20200416,H2,20200616
V6078,introduction,20200618,M,WT,20200416,H13,20200526,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6185,F,WT,20200427,CTRL3,20200618
V6080,introduction,20200616,M,WT,20200416,H13,20200526,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6064,F,WT,20200416,H2,20200616
V9935,introduction,20200923,M,WT,20200712,SB3,20200830,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V9920,F,WT,20200711,SB1,20200923
V9936,introduction,20200923,M,WT,20200712,SB4,20200830,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V9923,F,WT,20200711,SB1,20200923
B1627,introduction,20210601,M,MU,20210317,Oxt31,20210504,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,B1750,F,WT,20210325,H16,20210601
B1664,introduction,20210531,M,MU,20210325,1Het37,20210503,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,B1745,F,WT,20210324,H43,20210531
