Eartag,AssayType,RecordingDate,Sex,Genotype,DOB,Family,SurgeryDate,TDTGroupPath,TDTTankPath,VideoPath,VideoFile,ScorePath,ScoreFile,PreprocessedDataPath,PreprocessedFiledFF,PreprocessedFileTrimdFF,PartnerEartag,PartnerSex,PartnerGenotype,PartnerDOB,PartnerFamily,PairDate
B1669,introduction,20210601,M,MU,20210325,Oxt42,20210504,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,B1748,F,WT,20210324,H43,20210601
V3974,introduction,20190923,M,MU,20190708,Oxt16,20190823,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,,,,,,20190923
V3975,introduction,20190919,M,MU,20190708,Oxt16,20190823,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4160,F,WT,20190726,G18,20190919
V3977,introduction,20190919,M,MU,20190708,Oxt16,20190823,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4167,F,WT,20190727,NG10,20190919
V5161,introduction,20200108,M,MU,20191029,Oxt16,20191217,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5126,F,WT,20191024,G21,20200108
V5168,introduction,20200108,M,MU,20191029,Oxt23,20191216,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5142,F,WT,20191024,G21,20200108
V5456,introduction,20200219,M,MU,20191210,Oxt20,20200120,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5550,F,WT,20191223,H5,20200219
V5457,introduction,20200219,M,MU,20191210,Oxt20,20200120,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5551,F,WT,20191223,H5,20200219
V5488,introduction,20200212,M,MU,20191217,Oxt16,20200123,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5559,F,WT,20191223,H2,20200212
V3580,introduction,20190724,F,WT,20190521,NG7,20190619,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V3570,M,WT,20190522,NG8,20190724
V3583,introduction,20190725,F,WT,20190521,NG7,20190621,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V3567,M,WT,20190522,NG8,20190725
V3812,introduction,20190815,F,WT,20190620,NG12,20190722,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V3758,M,WT,20190624,B6,20190815
V4011,introduction,20190918,F,WT,20190712,NH24,20190820,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4140,M,WT,20190726,NG3,20190918
V4480,introduction,20191106,F,WT,20190901,G2,20191015,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4423,M,WT,20190826,CTRL3,20191106
V4494,introduction,20191113,F,WT,20190903,NH18,20191014,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4346,M,WT,20190819,G17,20191113
V5673,introduction,20200325,F,WT,20200111,NG12,20200304,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5730,M,WT,20200214,White18,20200325
V5678,introduction,20200326,F,WT,20200112,H3,20200304,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V5722,M,WT,20200124,G21,20200326
B1625,introduction,20210601,F,MU,20210317,Oxt31,20210504,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,B1795,M,WT,20210329,H56,20210601
B1661,introduction,20210531,F,MU,20210325,Oxt34,20210504,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,B1803,M,WT,20210325,J2,20210531
V3878,introduction,20190903,F,MU,20190701,Het14,20190808,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V3757,M,WT,20190614,B6,20190903
V4058,introduction,20191001,F,MU,20190717,1Het9,20190826,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4141,M,WT,20190726,NG3,20191001
V4064,introduction,20190919,F,MU,20190716,6Het5,20190826,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4143,M,WT,20190726,NG5,20190919
V4528,introduction,20191111,F,MU,20190903,1Het9,20191015,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V4347,M,WT,20190819,G17,20191111
V6403,introduction,20200817,F,MU,20200608,Oxt99,20200724,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6373,M,WT,20200601,H12,20200817
V6413,introduction,20200818,F,MU,20200609,Oxt29,20200723,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V6367,M,WT,20200601,H11,20200818
V8540,introduction,20201120,F,MU,20200904,Oxt35,20201028,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V8673,M,WT,20200918,H2,20201120
V8546,introduction,20201118,F,MU,20200908,1Het29,20201026,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,V8674,M,WT,20200918,H2,20201118
V8547,introduction,20201119,F,MU,20200908,1Het29,20201026,M:\photometry-Long2025\tdt_files\1 Intros,,,,D:\photometry_nwb\UCSF02 NAc Photometry\Behavior Scoring\1 Intro\csvs,,D:\photometry_nwb\UCSF02 NAc Photometry\Pre processed Data\Robust Intro dFF Files,,,noTag,M,WT,20200918,H2,20201119
